task_name,duration,successors,release_date,due_date
task_a_1,45,task_a_2,215,364
task_a_2,97,none,260,364
task_b_1,98,task_b_2,231,393
task_b_2,57,none,329,393
task_c_1,48,task_c_2,81,181
task_c_2,48,none,129,181
task_d_1,103,task_d_2,9,165
task_d_2,46,none,112,165
task_e_1,65,task_e_2,198,327
task_e_2,58,none,263,327
task_f_1,87,task_f_2,203,374
task_f_2,76,none,290,374
task_g_1,57,task_g_2,219,330
task_g_2,49,none,276,330
task_h_1,102,task_h_2,155,313
task_h_2,49,none,257,313
,,,,
MACHINES,"m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10",,,
